City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,Bulgan,48.8125,103.5347,12.49,62,3,0.73,MN,1624131942
231,Jalandhar,31.3256,75.5792,27.88,53,53,5.06,IN,1624131942
232,Tura,25.5198,90.2201,22.22,97,100,2.03,IN,1624131943
233,Plouzané,48.3833,-4.6167,17.01,94,75,5.14,FR,1624131943
234,Hajnówka,52.7433,23.5812,19.6,82,0,2.94,PL,1624131943
235,Ploemeur,47.7333,-3.4333,16.64,80,75,7.72,FR,1624131943
236,Tanete,-3.9443,119.7848,23.17,91,100,1.54,ID,1624131944
237,Rio Grande,-32.035,-52.0986,15.06,92,100,6.62,BR,1624131944
238,Lodja,-3.4833,23.4333,23.45,46,42,0.32,CD,1624131944
239,Siocon,7.7061,122.1353,25.28,83,100,1.2,PH,1624131944
240,Kavieng,-2.5744,150.7967,26.54,80,79,2.09,PG,1624131945
241,Gbarnga,6.9956,-9.4722,22.49,99,100,1.97,LR,1624131945
242,Abu Dhabi,24.4667,54.3667,32.06,84,20,3.6,AE,1624131807
243,Catalão,-18.1658,-47.9464,26.41,31,0,2.18,BR,1624131945
244,Powell River,49.8496,-124.5361,19.07,72,90,2.06,CA,1624131727
245,Tegul'det,57.3064,88.1667,15.81,99,99,2.07,RU,1624131945
246,Sonqor,34.7837,47.6004,24.45,16,21,2.83,IR,1624131946
247,Canutama,-6.5339,-64.3831,29.72,69,73,0.55,BR,1624131946
248,San Andrés,12.5847,-81.7006,31.01,70,20,7.2,CO,1624131946
249,Tondano,1.3038,124.9112,19.05,89,24,0.4,ID,1624131946
250,Antalaha,-14.9003,50.2788,21.71,79,50,5.6,MG,1624131947
251,Aykhal,66.0,111.5,18.52,54,91,0.38,RU,1624131947
252,Onega,63.9061,38.1404,13.31,63,66,3.05,RU,1624131947
253,Malakal,9.5334,31.6605,23.07,82,90,2.53,SS,1624131947
254,Campos Altos,-19.6961,-46.1714,21.49,40,3,2.05,BR,1624131948
255,Koslan,63.4564,48.8989,9.65,69,13,2.48,RU,1624131948
256,Kokopo,-4.352,152.2633,23.88,87,8,2.93,PG,1624131948
257,Manaus,-3.1019,-60.025,27.27,74,40,3.6,BR,1624131785
258,Lohja,60.2486,24.0653,21.88,83,0,2.14,FI,1624131948
259,La Tuque,47.4334,-72.7824,19.14,68,89,4.63,CA,1624131949
260,Salalah,17.0151,54.0924,27.05,89,75,3.6,OM,1624131949
261,Gainesville,29.6516,-82.3248,32.82,52,1,4.12,US,1624131865
262,Batagay,67.6333,134.6333,22.26,42,100,0.34,RU,1624131949
263,Starkville,33.4504,-88.8184,21.99,97,40,5.66,US,1624131950
264,Sabha,27.0377,14.4283,32.67,16,0,4.93,LY,1624131950
265,Oxford,51.7522,-1.256,15.03,94,90,0.45,GB,1624131786
266,Mandalgovi,45.7625,106.2708,16.09,40,94,2.8,MN,1624131950
267,São Filipe,14.8961,-24.4956,23.16,79,1,4.14,CV,1624131950
268,Vila do Maio,15.1333,-23.2167,25.44,83,1,6.69,CV,1624131951
269,Okakarara,-20.5833,17.4333,12.54,39,5,3.37,NA,1624131951
270,Hambantota,6.1241,81.1185,26.71,77,98,7.56,LK,1624131951
271,Mahébourg,-20.4081,57.7,22.16,60,20,6.69,MU,1624131951
272,Hithadhoo,-0.6,73.0833,28.61,70,100,6.61,MV,1624131952
273,Chak Jhumra,31.5678,73.1835,34.35,22,0,2.8,PK,1624131952
274,Tabou,4.423,-7.3528,25.91,82,58,4.09,CI,1624131952
275,Nishihara,26.1842,127.7558,26.81,89,75,6.17,JP,1624131952
276,Sarakhs,36.5449,61.1577,32.08,19,1,2.06,IR,1624131953
277,Semporna,4.4818,118.6112,24.11,83,100,0.6,MY,1624131953
278,Najrān,17.4924,44.1277,30.36,15,92,0.75,SA,1624131953
279,Nuuk,64.1835,-51.7216,5.34,93,90,5.14,GL,1624131953
280,Nabire,-3.3667,135.4833,23.53,91,98,1.3,ID,1624131954
281,La Rioja,42.25,-2.5,19.88,67,23,0.22,ES,1624131762
282,Cravo Norte,6.3017,-70.2041,28.95,72,87,2.83,CO,1624131954
283,Westerville,40.1262,-82.9291,28.05,63,40,5.81,US,1624131797
284,Buraidah,26.326,43.975,34.25,11,0,4.25,SA,1624131954
285,Kahului,20.8947,-156.47,27.01,72,20,8.23,US,1624131955
286,Olean,42.0776,-78.4297,24.02,68,90,2.06,US,1624131955
287,Dalhousie,32.5333,75.9833,16.41,55,9,0.99,IN,1624131955
288,Vuktyl,63.8567,57.3094,6.4,68,100,10.03,RU,1624131955
289,Klaksvík,62.2266,-6.589,9.51,84,58,4.61,FO,1624131956
290,Atambua,-9.1061,124.8925,21.5,90,87,2.09,ID,1624131956
291,Mar del Plata,-38.0023,-57.5575,11.01,59,20,1.79,AR,1624131744
292,Kontagora,10.3999,5.4695,23.67,85,100,1.85,NG,1624131956
293,Kirkkonummi,60.1238,24.4385,22.21,77,0,2.92,FI,1624131956
294,Sinnamary,5.3833,-52.95,28.08,73,11,4.42,GF,1624131957
295,Sioux Lookout,50.1001,-91.917,15.21,77,90,1.54,CA,1624131957
296,Okato,-39.2,173.8833,10.79,92,100,4.25,NZ,1624131957
297,São Francisco,-15.9486,-44.8644,28.43,29,33,2.08,BR,1624131957
298,Mâncio Lima,-7.6142,-72.8958,27.04,78,75,3.09,BR,1624131958
299,Carnot,4.9409,15.8665,22.58,87,86,0.65,CF,1624131958
300,Ola,59.5833,151.2833,10.52,73,19,1.42,RU,1624131958
301,Puerto Escondido,15.85,-97.0667,30.46,51,40,3.6,MX,1624131958
302,Puerto Asís,0.5133,-76.5007,28.31,92,100,1.65,CO,1624131959
303,Zhalantun,48.0,122.7167,12.36,96,91,3.29,CN,1624131959
304,Pandan,14.0453,124.1694,27.69,81,100,2.92,PH,1624131959
305,Los Llanos de Aridane,28.6585,-17.9182,18.86,73,20,7.2,ES,1624131959
306,Mossamedes,-15.1961,12.1522,20.22,73,5,3.94,AO,1624131960
307,Vila Velha,-20.3297,-40.2925,19.97,94,75,2.57,BR,1624131960
308,Mayor Pablo Lagerenza,-19.9309,-60.7718,11.96,66,100,2.34,PY,1624131960
309,Westport,41.1415,-73.3579,33.38,48,1,0.45,US,1624131960
310,Airai,-8.9266,125.4092,13.74,94,79,1.54,TL,1624131758
311,Zhangjiakou Shi Xuanhua Qu,40.6103,115.0447,18.32,36,5,2.16,CN,1624131961
312,Lockport,41.5895,-88.0578,32.25,62,40,7.72,US,1624131961
313,Mucuri,-18.0864,-39.5508,22.7,70,77,5.72,BR,1624131838
314,Necochea,-38.5473,-58.7368,9.46,50,98,2.69,AR,1624131961
315,Ribeira Grande,38.5167,-28.7,22.22,78,40,6.69,PT,1624131961
316,Khatanga,71.9667,102.5,14.57,73,15,2.56,RU,1624131962
317,Amalāpuram,16.5833,82.0167,27.5,79,100,1.7,IN,1624131962
318,Torbay,47.6666,-52.7314,17.43,84,75,1.54,CA,1624131780
319,Moerai,-22.4333,-151.3333,23.87,86,100,8.0,PF,1624131962
320,Betong,5.7743,101.0723,21.59,98,100,1.04,TH,1624131963
321,Hearst,49.6835,-83.6665,17.14,49,75,1.61,CA,1624131963
322,Pochutla,15.7432,-96.4661,32.12,68,85,2.79,MX,1624131963
323,Xique-Xique,-10.8218,-42.7263,29.56,41,18,3.27,BR,1624131963
324,Borūjerd,33.8973,48.7516,23.33,15,0,1.86,IR,1624131964
325,Seydi,39.4816,62.9137,28.33,22,0,8.72,TM,1624131964
326,Berlevåg,70.8578,29.0864,8.0,86,98,2.38,NO,1624131964
327,Kaarina,60.4072,22.369,22.18,64,0,2.06,FI,1624131964
328,Pleasanton,37.6624,-121.8747,37.41,27,1,0.45,US,1624131923
329,Salisbury,51.0693,-1.7957,14.82,91,90,3.6,GB,1624131846
330,Dingzhou,38.5131,114.9956,22.06,19,32,3.02,CN,1624131965
331,Spearfish,44.4908,-103.8594,31.12,26,1,1.34,US,1624131909
332,Gijang,35.2442,129.2139,18.85,75,78,1.09,KR,1624131965
333,Cañete,-37.8,-73.4,11.4,65,100,1.69,CL,1624131965
334,Ancud,-41.8697,-73.8203,9.01,79,90,2.17,CL,1624131779
335,Satānā,20.5833,74.2,24.03,78,100,5.76,IN,1624131966
336,Tartous,34.889,35.8866,23.61,78,4,3.77,SY,1624131966
337,Timmins,48.4669,-81.3331,15.9,72,90,4.63,CA,1624131966
338,Vilyuysk,63.7553,121.6247,18.77,74,38,1.08,RU,1624131966
339,Santander Jiménez,24.2167,-98.4667,33.55,40,96,4.48,MX,1624131967
340,Longyearbyen,78.2186,15.6401,4.91,75,75,11.83,SJ,1624131756
341,Abu Samrah,35.3029,37.1841,20.53,66,0,6.08,SY,1624131967
342,Tūkrah,32.5341,20.5791,22.34,84,0,2.19,LY,1624131967
343,Departamento de Maldonado,-34.6667,-54.9167,11.66,91,94,2.22,UY,1624131967
